Title,Author,Fandom,Url,Kudos,Summary
he's the one I dream of,seventies,Blue Lock (Manga),https://archiveofourown.org/works/32007229,"6,697",Summary: Igaguri doesn't know what the noise in the cafeteria is all about. (or: just an average day in Blue Lock where everybody fights over a certain blue-eyed striker.)
Blue Lock React!,Dreamquillz,Blue Lock (Manga),https://archiveofourown.org/works/46020880,"5,229",Summary: Blue Lock characters are forcefully dragged into a room to watch the development of our favorite striker. Revelations are had. Feelings are enabled.
Last Song Syndrome,sylphid187,Blue Lock (Manga),https://archiveofourown.org/works/45937093,"4,015","Summary: Members of Blue Lock and the Neo Egoist League are suffering from a special case of last song syndrome. The tune? Isagi Yoichi and his apparently good singing voice. OR Isagi likes to listen to music to de-stress, and he doesn't notice when he hums and sings along. His peers do, and this apparently does things to people."
You're Cute,blue0rangeade,Blue Lock (Manga),https://archiveofourown.org/works/46969306,"3,873","Summary: Isagi's parents left him in Germany for 2 months. They didn't expect him to find a boyfriend. “That was a cute attempt Yoichi, but you’re gonna need to train for at least another 10 years before you can steal the ball from me.” “Call me cute one more time and this cute fist will break your face.” - Vietnamese Translation by @lullsocull"
Blue Lock Prison Blues,kaspbro,Blue Lock (Manga),https://archiveofourown.org/works/47628259,"3,685","Summary: Isagi Yoichi is an innocent man. This is a fact he will stand by. But, as an innocent man locked away in the world's most high tech prison facility, where the quality of one's life is strictly dictated by a mysterious ranking system, Yoichi finds himself in a dire situation with no plausible way out. Only armed with his wits and a fortunate helping hand from his even more mysterious lawyer, Yoichi has no chance but to try to claw his way up the food chain. A task much easier said than done, given how the rest of Blue Lock's inmates do not seem to want to leave him alone. (Some of the earlier chapters have already been edited)"
the goodest boy™ isagi yoichi,retrosas,Blue Lock (Manga),https://archiveofourown.org/works/44114907,"3,641","Summary: Nagi can see it in his mind, how Isagi would be like—all timid at first, then slowly getting riled up enough that he'd surge forward, getting what he wants, what he needs, in his own hands. From someone else. Something about that…doesn’t sit right with Nagi. And a lot of other people. “I didn’t know Isagi could dig his claws into someone,” Niko whispers. “I was only almost scratched.” Nagi feels strangely offended. “I’ve never had either.” Those were options too? Beside him, Hiori looks hurt. Nagi gets that also. (“Isn’t that a good thing?” They hear someone whisper. “Apparently not,” someone responds back.) In which people think Isagi is a bother but also don't want him to stop bothering them. They would kill each other for Isagi to bother them, Nagi included. And he is very jealous he hasn't been yet."
Isagi Harem Assemble,LadyKoushin,Blue Lock (Manga),https://archiveofourown.org/works/45475366,"3,434",Summary: We need more Isagi harem story minna-san
Limited Edition Isagi Plushie!,no_3,Blue Lock (Manga),https://archiveofourown.org/works/43826598,"3,397","Summary: Thanks to Blue Lock TV's massive success, new merchandise of the top ten Blue Lock players will be available for purchase starting next week. All current top strikers have been sent an early prototype of their respective ""Blue Lock Series 1 Plushies."" Everyone wants Isagi's plushie, but only one exists."
every single second without you is a waste,loserikemen,Blue Lock (Manga),https://archiveofourown.org/works/44118924,"3,304",Summary: Isagi gets injured by the opposing team. Kaiser has a hard time controlling his anger.
Yesterday Upon The Stair,PitViperOfDoom,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/8337607,"88,340","Summary: Midoriya Izuku has always been written off as weird. As if it's not bad enough to be the quirkless weakling, he has to be the weird quirkless weakling on top of it. But truthfully, the ""weird"" part is the only part that's accurate. He's determined not to be a weakling, and in spite of what it says on paper, he's not actually quirkless. Even before meeting All-Might and taking on the power of One For All, Izuku isn't quirkless. Not that anyone would believe it if he told them. (This story now has a TV Tropes page!)"
Hero Class Civil Warfare,RogueDruid (Icarius51),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/14446512,"63,220","Summary: Heroes lead by Bakugo. Villains lead by Midoriya. Seven days prep time. Three days for Izuku Midoriya to show why they should be glad he's not a real villain. (Updated with final edits, 5/2/19)"
Deku? I think he's some pro...,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/22080895,"63,004","Summary: Yagi Toshinori watched the green haired boy walk away after saving his friend and shook his head. While the boy's actions were heroic, he was just too reckless. He walked in the opposite direction, thinking about a time he could meet the candidate Sir Nighteye put forward. Izuku Midoriya goes home and decides that, even if he can't be hero himself, he can still help them with his analysis. Cue Izuku catching the attention of multiple heroes who are a little more open-minded and willing to see the potential in a quirkless kid. This fic has a discord."
"count your blessings, not your flaws",PitViperOfDoom,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/10998828,"62,321","Summary: Midoriya Izuku has never been asked out, confessed to, or flirted with, except as a joke."
Viridian: The Green Guide,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/23529571,"61,516","Summary: After his dream is finally crushed, Izuku isn’t quite sure there’s anything left for him to live for, but...he can’t exactly kill himself either, not without hurting the people he cares the most about. So, when he realizes that the quirkless can’t technically be vigilantes, it seems like the best of both worlds. He’ll be able to save people even without being a hero and, if he happens to die while he’s at it...well, like Kacchan said, maybe he’d be born with a quirk in the next life. This fic has a discord."
Cheat Code: Support Strategist,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/25069339,"45,024","Summary: After All Might gives Izuku a much needed reality check, he has to find a new dream. When he learns that the support course at UA offers an emphasis in Intelligence and Analytics, it sounds like the perfect new passion for him to throw himself into. Who knew? Maybe Hero Analysis for the Future was never meant for his future as a hero, but for his future helping heroes... This fic has a discord."
Mastermind: Strategist For Hire,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/22055713,"41,880","Summary: Izuku Midoriya never got the chance to save Bakugo from the sludge villain and impress All Might. With his dream crushed, Izuku becomes bitter and angry. It also doesn't help that he faces discrimination at every turn. All he ever wanted was to be appreciated, so when the villains are the ones to recognize his talents rather than the heroes, well, Izuku just can't resist. He might as well help those who actually want him around. Mistakes were made, and now society must face a villain of their own making: Mastermind. This fic has a discord."
What The Fuck Did You Just Call Me?,reading_raindrop,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/16122836,"39,785","Summary: “A-ah B-Bakugou! You dropped some pencils!” Katsuki stiffened. Kirishima and Kaminari froze. Basically, everyone within earshot stopped what they were doing to look at Izuku like he sprouted a second head. What did he just call him? “What the fuck did you just say to me?” Katsuki whipped his head towards Izuku with his signature death glare as he stood up from where he picked up the fallen supplies. “U-um I said you dropped some pencils! I think this eraser might be yours to-” “No. What the fuck did you just call me?” Izuku starts calling him Bakugou and it pisses the explosive teen off a lot more than he thought it would"
Complicated Creation,Elemental,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/24798505,"38,692","Summary: Midoriya Izuku is medically quirkless, not technically homeless, perpetually exhausted and doing his damned best despite it all. He also sees spirits, which might be cool if not for the fact that a) no one else does, b) they really don't like him very much, and c) he's pretty sure the heroes now think he's a villain working for the League. Aizawa Shota just wants to take down Overhaul, rescue Eri, keep his students alive, get some rest, and find out how this Deku kid knows things he absolutely should not know about his personal life and the Shie Hassaikai case. Unless Nighteye's right, and the kid really is a villain."
The Way You Used To Do,edema_ruh,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/16392173,"36,593","Summary: ""We're really sorry,"" his father says, in a teary-eyed, wobbly way. ""But your friend, Izuku, he's... He's gone, son."" Katsuki can do nothing but blink up at them for moments that feel like an eternity, eyes darting between both his parents in obvious confusion, disbelief, and, more than anything, indignation. ""What the fuck are you two talking about? The damn nerd is standing right beside you!""  During a battle, Midoriya gets hit by a villain whose quirk detaches his soul from his body. Stuck in a ghost-like state, the boy enters a race against time in order to save himself from permanently dying. Much to his luck - or lack of it -, the only person who can see and talk to him in this state is no one other than Kacchan. Alternatively: Deku and Kacchan are soulbound."
I Was Screaming Your Name Through The Radio,ElectricSplatter,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/22133044,"23,643","Summary: “Four months from now will be the seven year anniversary of when you and Osamu Dazai released your hugely successful first and only album Double Black and its diamond single Corruption. After performing with Dazai earlier this year, are you planning anything special to celebrate?” “Corruption is insanely overrated, and I would prefer to never hear Dazai’s voice for the rest of my fucking life.” gorgeous art by @Letnia919 and liz   [Russian Translation] [Vietnamese Translation-Facebook] [Vietnamese Translation-Wordpress]"
Coil,Allegory_for_Hatred,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/50225803,"23,089","Summary: Dazai's second year at Hogwarts starts with a bang! Between Mori's latest orders, Snape's investigation, and media-fire coming from all angles, Dazai certianly has his work cut out for him. But he isn't going down without a fight. With a steadily-growing gang of friends (subordinates!) at his back, Dazai might just stand a chance of making it through his second year alive. ...or maybe not. Honestly, Dazai isn't picky."
Everything or Nothing,Wellthathappened (Cataclysmic_Calamity),文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/26188642,"20,804","Summary: College AU where Chuuya finds out that the boy he drunkenly made out with the night of orientation is his new roommate. His arrogant, smug, very straight roommate. And the boys are each convinced the other is trying to ruin their life by making them go absolutely insane. Turkish Translation Here Vietnamese Translation Here"
Magic and Mystery,Allegory_for_Hatred,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/23969512,"19,327","Summary: Dazai is going to Hogwarts—which is crazy because he doesn’t have magic. He has a nullifying ability, for goodness’ sake! Not that it matters. Dazai is still willing to stick around and cause trouble before he gets shipped back home and stuck in his room again. And this Quirrell guy is definitely up to something. So that’s a good place to start."
still still still,icedlightroast,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/16096616,"15,715","Summary: Finally, Chuuya eloquently said, “I don’t want to date you.” Dazai huffed. “Yeah, well, I’m not too thrilled at the idea of having a crazy rockstar boyfriend. But you got us into this mess, you need to help us get out of it.” Had Dazai gone insane? Nakahara Chuuya and Dazai Osamu, dating? Had Chuuya not made it clear through the dozens of direct and indirect meetings that he despised Dazai with every fiber in his body. Featuring: drunk tweets, falling in love, horrendous song writing, cheesy interviews, learning how to ""fake it,"" and Chuuya getting over the headache that is Dazai. Not necessarily in that order."
extraordinary,setosdarkness,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/18116567,"15,657","Summary: “Atsushi-kun has a sugar daddy,” Dazai mumbles, teetering between betrayal and crazy. “I can’t believe that Akutagawa-kun just chucked his Port Mafia salary to your face!” “Quite literally,” Atsushi insists, rubbing at the still-reddened space on his forehead, where Akutagawa’s wallet has practically imprinted itself. “I still think he was trying to kill me.” A sigh. “The pinnacle of romance.” “Dazai-san!” [or, the one where atsushi & akutagawa navigate living together] [in Vietnamese!] [in Russian!] [in Spanish!] [in Chinese!]"
Mark,Raven_Rein,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/10405311,"15,589",Summary: Dazai was afflicted with a curse and the only way to lift it is by kissing the person who loved him the most. Naturally he took the chance to laugh at everyone's expense.
Full Tacit Understanding,setosdarkness,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/18083978,"14,102","Summary: Chuuya breathes. Dazai answers, “Yamashita Park.” Ding. (Kunikida despairs as he tallies yet another correct answer. “Just how are they doing this.”) (Lucy tugs at her braids as she sees the odd couple rack up points, frustrated and awed in equal measures. “What is wrong with Japan.”) (Or, the one where they play charades and everyone gets traumatized by soukoku’s level of telepathy.) [in Vietnamese!] [in Russian!] [in Chinese!] [in Spanish!]"
"Two Sides, Same Coin",Yellow_Canna,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/20927198,"11,371","Summary: Since the beginning of Quirks, Yokohama has announced independence from Japan and closed itself from the rest of the world. To this day and age, no one knows what lies within the city of Yokohama—or that was what the public was made to believe. In reality, Yokohama has long fallen into the control of the world's largest criminal organization known as the Port Mafia. Follow Class 1-A as their principal organized a field trip to Yokohama! In their short trip there, they must change their perspectives and learn exactly what it means to be justice and what it means to be villains.   NOTE ON APRIL 2024: STORY ON TEMPORARY HIATUS AND IS LOOKING TO RETURN SOMETIME THIS YEAR SO PLEASE WAIT A BIT LONGER!  [русский, Bahasa Indonesia, Española, Tiếng Việt translations in beginning notes of the story!]"
Powdered Sugar,purplezipper,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/38835999,"11,186","Summary: Poe and Ranpo try something new, sweet, and extremely sticky in the bedroom."
The Trajectory of Laughter,PKSamurai,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/2525621,"4,743","Summary: Some say laughter is the cure for everything, but they obviously never heard Miyuki laugh..."
crossfire,kittebasu,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/10693503,"4,177","Summary: kazuya tries to put together a future he can live with, and sawamura’s right there to make a mess of it."
Unkept Promises,kazuyaceijun,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/32854087,"3,893","Summary: Sawamura didn't know how to act when his coach apologised to him after throwing him to the deep end. After getting the yips and being put on the back burner, he felt lost and neglected, especially seeing how most of his teammates left him stranded with no help whatsoever. So how was he supposed to act around the team now, especially around his so-called battery partner, Miyuki Kazuya, who had ignored him to prioritise their ace-sama? Will everything change when an eager first-year expresses his interest in replacing Miyuki as Sawamura's catcher? And how will the appearance of the two men watching Sawamura's pitching in their game against Ichidai affect Sawamura and the team?"
"he who wears the crown, (must bear its weight)",vivi_writ3s,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/39006441,"3,836","Summary: At age five, Sawamura Eijun leaves behind the open fields of Nagano for the city of Los Angeles. Suffering from homesickness and unable to speak the language, he finds comfort in the older boy in the apartment next door, and with it, his life starts on an entirely different trajectory. Or; Hailed as a baseball prodigy, Sawamura Eijun arrives at Seido High determined to make his brother’s dream of winning Koshien a reality. A very indulgent ""what-if Eijun was taught baseball properly at a young age"" re-write of canon."
only fools rush in,drunkonwriting,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/4594179,"3,798","Summary: ""Miyuki-senpai,"" Sawamura says. ""I like you."" Kazuya stares at his bent head, the dark hair tufted in weird places from sleep. There's an odd ringing noise in his ears. ""… As a friend?"" Sawamura looks up, his bright eyes gleaming. ""No!"" he yells. ""In a romance way! Please go out with me, Miyuki Kazuya!  miyuki accepts everyone who confesses to him him out of convenience, not romance. he never expected sawamura."
The path we walk,WindsOfTime,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/21521578,"3,766","Summary: Eijun goggles at the magazine she just shoved into his hands. ""W-Wakana!"" ""I know!"" she says, beaming. ""That's my soulmate!!"" ""I know!!"" ""My soulmate plays baseball!!"""
On the amazingness of social networks,Erendyce,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/3845866,"3,453",Summary: It takes only one tweet from Miyuki for chaos to ensue.
Some Stories are Meant to be Told,Jinniett,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/33653044,"3,340","Summary: There are a lot of unexpected things in life that could change your future. To Eijun, that unexpected thing was when someone moved to the house next door. or In which a retired professional baseball player moved to a house next to the Sawamura household."
Bet,arbitraryallegory,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/1207585,"3,246","Summary: Eijun might have lost the battle, but Miyuki clearly lost the war."
I'd Trade My Life for Yours,grayimperia,Dangan Ronpa Series,https://archiveofourown.org/works/10517349,"8,169","Summary: [Major spoilers for all of V3] Her classmates have just chosen Saihara as the killer by a margin of one. He finally reaches out to her, and she looks back at him. And Monokuma says something that absolutely shocks both of them to the core. “Welp! Looks like you guys got it right!” Kaede’s world stops. - Three different sacrifices are made, and three different survivors stumble out of the rubble."
And Again,Riona,Dangan Ronpa Series,https://archiveofourown.org/works/663904,"6,946",Summary: Naegi finds himself caught in a time loop. Surely living through Monobear's game once was bad enough?
Let It All Out,taitofan,Dangan Ronpa Series,https://archiveofourown.org/works/9679244,"6,487","Summary: The misadventures of Kokichi Ouma wetting himself in front of the boys (and sometimes girls) he likes. Ships featured include: Shuuichi, Kiibo, Rantarou, Kaito, Gonta, Korekiyo, Miu, Kaede; Nagito, Kirumi, Tenko, Ryouma, and crossovers. Latest chapter: Merry Christmas, Kokichi is a pirate now [The fics are unrelated unless noted and new tags will be added as each chapter goes up]"
Reaching,kokichiouma,Dangan Ronpa Series,https://archiveofourown.org/works/9670451,"6,383","Summary: Even if that hand reaches out to him, Ouma won't pull it, or let himself be pulled. A helping hand is useless if the person being helped spurns it. The loop continues again."
Three-Point Shot,RandomRex6,Dangan Ronpa Series,https://archiveofourown.org/works/10033658,"5,797",Summary: The first investigation was going exactly as the Mastermind hoped it would. And then Ouma picked up the ball. MAJOR V3 SPOILERS (Sort of Fix-It; Justice is Served AU) TV Tropes: http://tvtropes.org/pmwiki/pmwiki.php/Fanfic/ThreePointShot In-Progress Audiobook by Net Neutrality: https://www.youtube.com/playlist?list=PLK2BZXDp6Lqhr9zimdHWTmQpu21y2cBaw In-Progress Audiobook by ARedgrave: https://www.youtube.com/watch?v=bNSAzcWUerU
The Lion's Den,Arcawolf,Dangan Ronpa Series,https://archiveofourown.org/works/7685368,"5,534","Summary: After the Killing Game, Komaeda realizes he has no choice but to bring the Ultimate Hope under his care. The world has become a very dangerous place after all, and there's no way he can allow Naegi Makoto's light to blink out. (Komaeda decides to shelter/adopt/kidnap a terrified Naegi, and Ultimate Despair is a poor host) Only follows canon from the first game."
Intertwined feelings,AtroceIronie,Dangan Ronpa Series,https://archiveofourown.org/works/7782124,"5,227","Summary: Not long after the first trial, Hinata wakes up only to discover that Komaeda and himself are connected through pain ; if one of them is injured, the other will feel it. What if, as their relationship grow, they started sharing more and more than just pain ? Maybe it could be the chance for Hinata to understand the elusive mess that is Komaeda's mind."
i can't take you anywhere,dimolto,Dangan Ronpa Series,https://archiveofourown.org/works/28646001,"4,810","Summary: “One more word and I’m going to drive us both off a cliff,” Hinata deadpanned. “Well, I would probably survive it. Ultimate Lucky Student and all.” Komaeda tilted his head. “But if you really do want to kill me, I’m sure we can find a way to make it happen!” On the way back from the third-year class trip to Hokkaido, the bus happened to leave two students behind: a tag-along Reserve Course boy who, as always, wasn’t quite sure how he kept getting himself into these situations, and an enigmatic young man who was beginning to feel very, very cheated by his luck. Now, if Hajime Hinata wants to get back to Tokyo, he’s going to have to face a hotwired car, 900 miles of open road, and ten days stuck with Nagito Komaeda."
cops and robbers,andreabandrea,Dangan Ronpa Series,https://archiveofourown.org/works/15345666,"4,718","Summary: “Darling?” Kokichi snorted. “You love me that much, Shuichi?” “Well… yeah,” Shuichi said, giving a light laugh. “That’s why I married you.” And he froze. [Kokichi wins the Key of Love at the casino. He wakes up in Shuichi’s ideal fantasy. ]"
Affinity,Nyx_xy,Dangan Ronpa Series,https://archiveofourown.org/works/9820907,"4,711","Summary: Hinata and Kamukura both feel it, the swell of affection. Komaeda seems to be the only individual on the island able to always tell the two apart, even while they wear the same face. The others speculate, but are never as assure in their switch as the one before them now. Hajime can feel Izuru almost purr under the acknowledgment. He internally rolls his eyes. Why does he call you by first name and not me, anyways? Are you jealous? Smug bastard."
And Again,Riona,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/663904,"6,946",Summary: Naegi finds himself caught in a time loop. Surely living through Monobear's game once was bad enough?
Reaching,kokichiouma,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/9670451,"6,383","Summary: Even if that hand reaches out to him, Ouma won't pull it, or let himself be pulled. A helping hand is useless if the person being helped spurns it. The loop continues again."
The Lion's Den,Arcawolf,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/7685368,"5,534","Summary: After the Killing Game, Komaeda realizes he has no choice but to bring the Ultimate Hope under his care. The world has become a very dangerous place after all, and there's no way he can allow Naegi Makoto's light to blink out. (Komaeda decides to shelter/adopt/kidnap a terrified Naegi, and Ultimate Despair is a poor host) Only follows canon from the first game."
Intertwined feelings,AtroceIronie,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/7782124,"5,227","Summary: Not long after the first trial, Hinata wakes up only to discover that Komaeda and himself are connected through pain ; if one of them is injured, the other will feel it. What if, as their relationship grow, they started sharing more and more than just pain ? Maybe it could be the chance for Hinata to understand the elusive mess that is Komaeda's mind."
Affected,Laurea,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/5114351,"4,676","Summary: After being repeatedly challenged by Naegi in the class trials, Togami finds his mind unduly focused on the boy. He thinks Naegi should be equally focused on him - but his plan doesn't go quite the way he expects. His miscalculation affects not only himself, but the entire course of the killing game. Usually updates every other Sunday."
Extra Life,The_Apocryphal_One,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/8222090,"4,296","Summary: Izuru knew he couldn't let her die, not like this, not while he had the power to save her. Chiaki survives her execution—but the fate of the world is still sealed. The road to recovery is a hard one, and a reunion is far off. TvTropes page is here, including links to all translations (Russian, French, Spanish, and Chinese), the infomercial, and the audio reading; feel free to add to it! http://tvtropes.org/pmwiki/pmwiki.php/Fanfic/ExtraLife"
Remember Me,Laurea,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/4955695,"3,684","Summary: When the Future Foundation helps the students begin to recover their lost memories, Byakuya Togami is horrified to discover that his feelings for Makoto Naegi are not what he thought they were."
And There Was Only One Bed One-Shots,Princess_Piggles,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/17041409,"3,667","Summary: Collection of bedsharing fics for danganronpa characters, requests are now closed. Thank you! 1 Saiouma 2 Kokichi/Mukuro 3 Tenmiko 4 komahina 5 Maki/Kaede 6 Toko/Hajime 7 Miu/Kokichi 8 sonianami 9 Nagisa/Masaru 10 Kyoko/Makoto 11 Nagito/Chiaki 12 Chihiro/Kokichi 13 Keebo/Shuichi 14 fuyupeko 15 Kaede/Kokichi 16 maki/kaito 17 Gonta/Shuichi 18 oumota 19 kiibouma 20 Miu/Chihiro 21 Tenko/trans!Kokichi 22 Fuyuhiko/Kokichi 23 Fuyuhiko/Kazuichi 24 Mikan/Tenko 25 Akane/Chihiro 26 Maki/Kokichi 27 Junko/Monaca 28 Miu/Makoto 29 Gonta/Kokichi 30 Ryoma/Kirumi 31 Miu/Kaito 32 Miu/Nagisa 33 Kazuichi/Sonia 34 Chihiro/Hina 35 Kaede/Shuichi 36 Celeste/Chihiro 37 Gonta/Chihiro 38 Mukuro/Shuichi 39 Rantaro/Miu 40 Korekiyo&Sister/Toko&Sho 41 junkomaeda 42 Chiaki/Mikan 43 Kaede/Miu 44 Kaito/trans!kokichi 45 komamiki 46 oumeno 47 korekiyo/kokichi 48 saimota 49 chimondo"
White Like Snow,FallFromtheStars,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/26796337,"3,323","Summary: Hinata Hajime is a stressed university student with no purpose in life. Lost in his thoughts, he ends up feeding a white fox who ends up changing his life. (Kitsune au because I love Kitsune Komaeda)"
Dangan Ronpa: Third Base,BardsAmbrosia,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/15638364,"3,309","Summary: Indulgent, nasty trash for the danganronpa community."
Would Kira have gay sex?,itiaskia,Death Note (Anime & Manga),https://archiveofourown.org/works/40474977,"17,591",Summary: L puts Light in a compromising position
Pictures on Skin,Shadow_of_Quill,Death Note (Anime & Manga),https://archiveofourown.org/works/2834570,"13,302","Summary: In a world where life experiences mark people rather more literally, Light has some unfortunate truths drawn on his skin - not that anyone notices.   Has now been translated into Chinese by SoleilCam! Has now been translated into Russian by Warmi!"
Back Again,Brenna1918,Death Note (Anime & Manga),https://archiveofourown.org/works/30961484,"10,550","Summary: What is Light to do when he wakes up after his life as a Shinigami is over, only to find himself with both his memories and his life back to the way it was before...with the Death Note in his school bag?"
Interested in Learning More,Shadow_of_Quill,Death Note (Anime & Manga),https://archiveofourown.org/works/214314,"9,328",Summary: Light isn't asexual. He just has... unusual interests. And Ryuuzaki is very observant.
